iter	Passed	Remaining
403	11667	2772
404	11700	2744
405	11732	2716
406	11765	2688
407	11799	2660
408	11832	2632
409	11865	2604
410	11897	2576
411	11932	2548
412	11964	2520
413	11997	2492
414	12030	2464
415	12064	2436
416	12097	2407
417	12132	2379
418	12165	2351
419	12202	2324
420	12234	2295
421	12266	2267
422	12298	2238
423	12332	2210
424	12366	2182
425	12399	2153
426	12432	2125
427	12464	2096
428	12497	2068
429	12529	2039
430	12561	2011
431	12596	1982
432	12628	1954
433	12661	1925
434	12694	1896
435	12729	1868
436	12764	1840
437	12797	1811
438	12830	1782
439	12864	1754
440	12898	1725
441	12930	1696
442	12961	1667
443	12996	1639
444	13028	1610
445	13059	1581
446	13092	1552
447	13125	1523
448	13159	1494
449	13191	1465
450	13224	1436
451	13257	1407
452	13290	1378
453	13322	1349
454	13355	1320
455	13391	1292
456	13424	1263
457	13457	1234
458	13490	1205
459	13523	1175
460	13557	1146
461	13591	1117
462	13624	1088
463	13657	1059
464	13690	1030
465	13722	1001
466	13753	971
467	13785	942
468	13819	913
469	13852	884
470	13885	854
471	13918	825
472	13952	796
473	13985	767
474	14017	737
475	14050	708
476	14083	679
477	14119	649
478	14153	620
479	14187	591
480	14221	561
481	14255	532
482	14290	502
483	14325	473
484	14361	444
485	14396	414
486	14434	385
487	14475	355
488	14516	326
489	14554	297
490	14588	267
491	14624	237
492	14657	208
493	14690	178
494	14723	148
495	14760	119
496	14797	89
497	14834	59
498	14872	29
499	14914	0
