iter	Logloss
0	0.6556543883
1	0.6195049132
2	0.5912475112
3	0.5639855001
4	0.5415054101
5	0.5120511321
6	0.4887768077
7	0.4673367441
8	0.4416865625
9	0.4227601519
10	0.403394867
11	0.3868987609
12	0.369663047
13	0.3550994839
14	0.338742375
15	0.3236631159
16	0.3099764048
17	0.2959608825
18	0.2819860135
19	0.2670987669
20	0.2545884016
21	0.2441434147
22	0.2346646082
23	0.2240523196
24	0.2156031571
25	0.2070316119
26	0.1992140303
27	0.1926092058
28	0.1845111752
29	0.1766018257
30	0.1703673713
31	0.1652408844
32	0.1597380576
33	0.1548656112
34	0.1502940231
35	0.1455149382
36	0.1411521683
37	0.135738527
38	0.1320025227
39	0.1270669987
40	0.1232036326
41	0.119881835
42	0.1164871261
43	0.1138993761
44	0.1101130241
45	0.1059129597
46	0.1020186085
47	0.09832405414
48	0.0956273383
49	0.09235043254
50	0.0896637331
51	0.08774137848
52	0.08519942868
53	0.08257629549
54	0.07980416776
55	0.07755648739
56	0.07521386547
57	0.07281921334
58	0.07108690923
59	0.06932734747
60	0.06722289436
61	0.0659360651
62	0.06413754514
63	0.06263911517
64	0.06100795334
65	0.05976833257
66	0.0582327769
67	0.05672662802
68	0.05559654707
69	0.05427716201
70	0.05310323856
71	0.05206836867
72	0.05108286232
73	0.04969701705
74	0.04873255538
75	0.04786961954
76	0.04696276115
77	0.04595235503
78	0.04509876642
79	0.04398107531
80	0.04287811272
81	0.04169261913
82	0.04067694467
83	0.03999249275
84	0.03917874763
85	0.03828626024
86	0.03771747782
87	0.03689587444
88	0.03609946536
89	0.03551441108
90	0.03504844814
91	0.034529394
92	0.03367296547
93	0.0330986066
94	0.03252187988
95	0.03184998597
96	0.03139496266
97	0.03065445879
98	0.03008534733
99	0.02963540147
100	0.0290750992
101	0.02841703438
102	0.02797339566
103	0.0274457884
104	0.02711319917
105	0.02668369268
106	0.02610788283
107	0.02570567414
108	0.02532417348
109	0.02500758855
110	0.02475710229
111	0.02441863182
112	0.02401417654
113	0.02361246873
114	0.02337200926
115	0.02315073786
116	0.0227635162
117	0.02250032902
118	0.02220466744
119	0.02177399356
120	0.02151504131
121	0.0213313314
122	0.02108192393
123	0.02089178551
124	0.02062951193
125	0.02041311251
126	0.02009947105
127	0.01987732507
128	0.01968703491
129	0.01945471431
130	0.01916399766
131	0.01895440287
132	0.01879477557
133	0.01864807002
134	0.01846629621
135	0.0181464276
136	0.01788898277
137	0.01763787678
138	0.01750108635
139	0.01730324722
140	0.01714399574
141	0.01699421935
142	0.01681410545
143	0.01665742554
144	0.01647977989
145	0.01625619565
146	0.01608002417
147	0.01592297457
148	0.01580761054
149	0.01560453988
150	0.01543583476
151	0.01530064384
152	0.01511432653
153	0.01495972435
154	0.01484513497
155	0.01469491859
156	0.01455520181
157	0.01438453062
158	0.01428745422
159	0.01410792127
160	0.01398824874
161	0.0138587437
162	0.01378822398
163	0.01365761699
164	0.0135005678
165	0.01342931645
166	0.0133377946
167	0.01325365994
168	0.01316995395
169	0.01305257365
170	0.01294935584
171	0.01287250377
172	0.01277501877
173	0.01268065329
174	0.01257427299
175	0.01247771357
176	0.01242364295
177	0.0123158833
178	0.01223312473
179	0.01213322459
180	0.01206394581
181	0.0119329073
182	0.0118736248
183	0.01177448164
184	0.01170023986
185	0.01163792885
186	0.01155518052
187	0.01148650152
188	0.01139591307
189	0.01131694201
190	0.01125980572
191	0.01121410861
192	0.0111321274
193	0.01105710614
194	0.01097333988
195	0.01088793393
196	0.01078279976
197	0.0107362063
198	0.01067045741
199	0.01054283631
200	0.01048188777
201	0.01037797333
202	0.0103132162
203	0.01026439802
204	0.0102159142
205	0.01016844945
206	0.01011541992
207	0.01004797572
208	0.01000237302
209	0.009934426306
210	0.009890689727
211	0.009831584384
212	0.009781237653
213	0.009714024594
214	0.009605553475
215	0.00953900993
216	0.009473354238
217	0.009386749924
218	0.009323071857
219	0.009260226738
220	0.009198198678
221	0.009163860656
222	0.00911145207
223	0.009070869954
224	0.008998423336
225	0.008962103689
226	0.0089278141
227	0.008902776243
228	0.00885450967
229	0.008798863609
230	0.008743887258
231	0.008707256925
232	0.0086520922
233	0.008613270906
234	0.008577003107
235	0.008523387489
236	0.008489511243
237	0.008441037522
238	0.008408685175
239	0.008363114951
240	0.008314803967
241	0.00827227114
242	0.008241351031
243	0.008197283917
244	0.008171410116
245	0.008130525524
246	0.008082148484
247	0.0080354262
248	0.008005500206
249	0.007958533741
250	0.007918689766
251	0.007880293617
252	0.007835758961
253	0.007790682902
254	0.00774712053
255	0.007718971819
256	0.007682285054
257	0.007638895735
258	0.007601483691
259	0.007564442815
260	0.007532359135
261	0.007492980429
262	0.007451623413
263	0.00741855048
264	0.007393018892
265	0.007363125858
266	0.007328311126
267	0.007288680266
268	0.007257245412
269	0.007223720281
270	0.007198175249
271	0.007168488628
272	0.007132729559
273	0.007109104174
274	0.007080169359
275	0.007047898916
276	0.007016229541
277	0.006980590966
278	0.006949219997
279	0.006924501748
280	0.0068889252
281	0.006856952958
282	0.006832859378
283	0.006804978697
284	0.006778630272
285	0.00674899831
286	0.006724826455
287	0.006700297683
288	0.006672384876
289	0.006655840066
290	0.006633624432
291	0.006609164743
292	0.006581571839
293	0.006549266683
294	0.006517271822
295	0.006499627294
296	0.006468824997
297	0.006452885591
298	0.006426811863
299	0.006404884515
300	0.006378844329
301	0.006352464731
302	0.006329097516
303	0.006313679314
304	0.006285515743
305	0.006256624548
306	0.006227990273
307	0.006205639267
308	0.006177455048
309	0.006153426472
310	0.006125699756
311	0.006101872131
312	0.006073941912
313	0.00605600514
314	0.006028476569
315	0.006006477905
316	0.005989870605
